property_name,property_id,breadcrumbs,price,image_url,description,seller_name,location,property_type,bathroom,bedroom
4BHK Serviced Villa on daily / weekly rent.,1774304369,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Wayanad', 'For Rent: Houses & Apartments in Kenichira', '4BHK Serviced Villa on daily / weekly rent.']","{'amount': '12,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/7ypq2zm8q78b1-IN/image;s=850x0,4BHK Serviced Villa on daily / weekly rent.,Johny,"Kenichira, Wayanad, Kerala",Houses & Villas,4,4
2BHK  independent house near Chevarambalam bypass road 10 K,1775533662,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Chevarambalam', '2BHK  independent house near Chevarambalam bypass road 10 K']","{'amount': '10,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/wle7jhpk7izt-IN/image;s=850x0,10 rent ,Pro Rent Buy n Sell,"Chevarambalam, Kozhikode, Kerala",Houses & Villas,2,2
West hill -2bhk -rent -rs 23000,1772713732,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in West Hill', 'West hill -2bhk -rent -rs 23000']","{'amount': '23,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/qx1ma6yeldwg1-IN/image;s=850x0,It's 2BHK apartment in West hill .it's 1400 square with semi furnished condition.its in the 9 th floor And it's having security CCTV TV and lift facilities,Seashore Realtors,"West Hill, Kozhikode, Kerala",Apartments,2,2
House for lease,1775043534,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayade', 'House for lease']","{'amount': '10,00,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/juiuw9efvr071-IN/image;s=850x0,Down portion of house for sale,Babu,"Thondayade, Kozhikode, Kerala",Houses & Villas,2,2
3 bhk house fully furnished for rent near civil station iqura hospital,1775234736,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Calicut Civil Station', '3 bhk house fully furnished for rent near civil station iqura hospital']","{'amount': '30,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/fdp3pree5ns5-IN/image;s=850x0,3 bhk independent house fully furnished near iqura hospital civil station,Jothish,"Calicut Civil Station, Kozhikode, Kerala",Houses & Villas,3,3
House for rent @ paroppady,1760471657,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Paroppadi', 'House for rent @ paroppady']","{'amount': '15,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/89yj4l5x8hw6-IN/image;s=850x0,Simple home compound wall near by Amritha vidyyalaya and silver hills school,Sunil Kc,"Paroppadi, Kozhikode, Kerala",Houses & Villas,3,3
FURNISHED DOUBLE STOREYED HOUSE FOR RENT MANKAVU CALICUT,1758904768,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Mankavu', 'FURNISHED DOUBLE STOREYED HOUSE FOR RENT MANKAVU CALICUT']","{'amount': '20,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/bdo6ncziz2po-IN/image;s=850x0,FURNISHED DOUBLE STOREYED HOUSE FOR RENT MANKAVU CALICUT,TRUTH REAL ESTATE,"Mankavu, Kozhikode, Kerala",Houses & Villas,2,3
3 BHK FURNISHED UPSTAIR PORTION HOUSE FOR RENT NEAR LULU MALL,1775490495,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Mankavu', '3 BHK FURNISHED UPSTAIR PORTION HOUSE FOR RENT NEAR LULU MALL']","{'amount': '25,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/ypz231sn95tv-IN/image;s=850x0,3 BHK FURNISHED UPSTAIR PORTION HOUSE FOR RENT NEAR LULU MALL,PROPERTY HUB,"Mankavu, Kozhikode, Kerala",Houses & Villas,3,3
3 bhk flat for rent near to chevayur,1775456395,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Chevayur', '3 bhk flat for rent near to chevayur']","{'amount': '27,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/lxb5c3twspvt1-IN/image;s=850x0,"3bhk,not furnished.reserve parking,security etc.Rent Rs.27000/-(including maintainance).",All Rentals,"Chevayur, Kozhikode, Kerala",Apartments,0,2
BACHELORS ALLOWED FULL FURNISHED AC HOUSE FOR RENT KOTTULI KOZHODE,1759366478,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Kottuli', 'BACHELORS ALLOWED FULL FURNISHED AC HOUSE FOR RENT KOTTULI KOZHODE']","{'amount': '30,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/f0nsc7ksv9ds-IN/image;s=850x0,BACHELORS ALLOWED FULL FURNISHED AC HOUSE FOR RENT KOTTULI KOZHODE,HEAVEN REAL ESTATE AGENT,"Kottuli, Kozhikode, Kerala",Houses & Villas,3,3
